trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
168,False,"{'a': 0.01, 'e': 0.18637397603940997}",20,13,14.348796629301013,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.01, 'e': 0.18451952399298926}",25,19,4.238233056495481,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.01, 'e': 0.18268352405273466}",20,3,26.04971346815953,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.01, 'e': 0.1808657926171221}",25,14,9.785160470659118,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.01, 'e': 0.17906614791149322}",20,7,15.448894759581044,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.01, 'e': 0.17728440996987782}",20,2,2.870266043917452,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.01, 'e': 0.17552040061699686}",30,16,-15.204822256555168,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
175,False,"{'a': 0.01, 'e': 0.17377394345044514}",25,8,11.04859416779686,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.01, 'e': 0.17204486382305054}",25,18,13.159455121595808,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.01, 'e': 0.17033298882540943}",25,7,5.745722067735259,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
178,False,"{'a': 0.01, 'e': 0.1686381472685955}",25,3,-8.698282744931213,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 0}",1
179,False,"{'a': 0.01, 'e': 0.1669601696670407}",20,11,16.483548726302892,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.01, 'e': 0.16529888822158653}",25,0,20.98104606325815,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.01, 'e': 0.16365413680270405}",20,3,-0.18943847610008646,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
182,False,"{'a': 0.01, 'e': 0.16202575093388075}",20,2,13.495873840482561,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.01, 'e': 0.16041356777517274}",25,16,10.770027143194188,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
